@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

CleanData,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,32,8,0,80,20,0,0.736626,0.070459,0.255957,27.076192,71.219113,93.446542,67.765971,25.680572,2.336164,1.694149,0.642014,67.484233,1.687106,2832.843311,0.909091,10,0,0,1,29,0.090909,1,1,0.909091,0.952381,0.937437,0.954545,0.934091,0.8,0.059259,0.940741,0.2,0.790196,0.8,0.773571,0.743481,0.87037,0.718321,0.714286,0.8,0.001,0.002,0,0,0,0,33171,32352,4812,80,16.666667,?
CleanData,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,36,5,0,87.804878,12.195122,0,0.844225,0.044923,0.199908,17.162617,55.25937,97.273994,42.682641,54.591353,2.372536,1.04104,1.331496,82.189328,2.004618,3455.824628,0.9,9,0.032258,1,0.967742,30,0.1,1,0.9,0.9,0.9,0.867742,0.933871,0.83439,0.878049,0.031872,0.968128,0.121951,0.884146,0.878049,0.879133,0.849323,0.923089,0.801906,0.876994,0.878049,0.001,0.002,0,0,0,0,33086,32267,4897,87.804878,16.666667,?
CleanData,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,36,5,0,87.804878,12.195122,0,0.845166,0.044923,0.199908,17.232242,55.512279,96.135497,42.682641,53.452856,2.344768,1.04104,1.303728,81.239962,1.981462,3411.450352,0.818182,9,0,0,1,30,0.181818,2,1,0.818182,0.9,0.875811,0.909091,0.866962,0.878049,0.015181,0.984819,0.121951,0.902439,0.878049,0.88374,0.865647,0.931434,0.824318,0.838492,0.878049,0,0.003,0,0,0,0,33086,32267,4897,87.804878,16.666667,?
CleanData,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,32,9,0,78.04878,21.95122,0,0.713732,0.076857,0.268137,29.482119,74.458862,96.135497,76.112849,20.022648,2.344768,1.856411,0.488357,68.929736,1.681213,2894.516017,0.636364,7,0.033333,1,0.966667,29,0.363636,4,0.875,0.636364,0.736842,0.674208,0.801515,0.654379,0.780488,0.069556,0.930444,0.219512,0.794297,0.780488,0.773299,0.724625,0.855466,0.66576,0.74741,0.780488,0.001,0.002,0,0.01,0,10,33086,32267,4897,78.04878,16.666667,?
CleanData,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,363,41,33,8,0,80.487805,19.512195,0,0.74613,0.068874,0.252812,26.215808,69.593698,98.883473,67.755297,31.128176,2.411792,1.652568,0.759224,73.337406,1.788717,3089.298115,1,11,0.166667,5,0.833333,25,0,0,0.6875,1,0.814815,0.756913,0.916667,0.6875,0.804878,0.069082,0.930918,0.195122,0.834545,0.804878,0.784571,0.755525,0.867898,0.689428,0.763951,0.804878,0.001,0.002,0,0,0,0,33086,32267,4897,80.487805,16.666667,?
CleanData,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,32,8,0,80,20,0,0.744,0.070459,0.255957,26.906194,70.716167,95.519531,67.765971,27.75356,2.387988,1.694149,0.693839,70.359575,1.758989,2960.468529,0.818182,9,0.034483,1,0.965517,28,0.181818,2,0.9,0.818182,0.857143,0.808135,0.89185,0.786364,0.8,0.051289,0.948711,0.2,0.820394,0.8,0.795431,0.755048,0.874355,0.694627,0.7633,0.8,0,0.002,0,0,0,0,33171,32352,4812,80,16.666667,?
CleanData,2,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,34,6,0,85,15,0,0.810427,0.054092,0.22169,20.65603,61.248979,95.519531,51.042083,44.477448,2.387988,1.276052,1.111936,77.102947,1.927574,3244.204484,0.818182,9,0.034483,1,0.965517,28,0.181818,2,0.9,0.818182,0.857143,0.808135,0.89185,0.786364,0.85,0.025091,0.974909,0.15,0.869286,0.85,0.846131,0.825764,0.912454,0.769911,0.806746,0.85,0.001,0.002,0,0,0,0,33171,32352,4812,85,16.666667,?
CleanData,2,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,35,5,0,87.5,12.5,0,0.839872,0.045908,0.202393,17.550571,55.987403,94.770263,42.68014,52.090124,2.369257,1.067003,1.302253,76.884067,1.922102,3232.335118,0.909091,10,0.034483,1,0.965517,28,0.090909,1,0.909091,0.909091,0.909091,0.874608,0.937304,0.851446,0.875,0.023022,0.976978,0.125,?,0.875,?,?,0.925989,0.796231,?,0.875,0,0.002,0,0,0,0,33171,32352,4812,87.5,16.666667,?
CleanData,2,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,34,6,0,85,15,0,0.806919,0.054092,0.22169,20.679151,61.325535,94.770263,51.042083,43.72818,2.369257,1.276052,1.093204,75.646272,1.891157,3180.296145,1,11,0.068966,2,0.931034,27,0,0,0.846154,1,0.916667,0.88758,0.965517,0.846154,0.85,0.0396,0.9604,0.15,0.871026,0.85,0.840215,0.81914,0.9052,0.754567,0.797138,0.85,0,0.002,0,0.01,0,10,33171,32352,4812,85,16.666667,?
CleanData,2,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -S 1 -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-4523450618538717400,20181008.114,364,40,33,7,0,82.5,17.5,0,0.773463,0.062275,0.239437,23.807732,66.234833,94.770263,59.404027,35.366236,2.369257,1.485101,0.884156,72.841142,1.821029,3062.363783,0.727273,8,0.103448,3,0.896552,26,0.272727,3,0.727273,0.727273,0.727273,0.623824,0.811912,0.603926,0.825,0.05702,0.94298,0.175,?,0.825,?,?,0.88399,0.722508,?,0.825,0.001,0.002,0,0,0,0,33171,32352,4812,82.5,16.666667,?
