@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 38\nSize of the tree: 75\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

CleanData,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.261749,0.361762,100,100,97.273994,97.273994,0,2.372536,2.372536,0,0,0,0,0,0,0,0,1,31,1,10,?,0,?,?,0.5,0.243902,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.215943,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260691,0.360114,100,100,96.135497,96.135497,0,2.344768,2.344768,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.223081,?,0.317073,0.001,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260691,0.360114,100,100,96.135497,96.135497,0,2.344768,2.344768,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.223081,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,12,29,0,29.268293,70.731707,0,0,0.262718,0.363268,100,100,98.883473,98.883473,0,2.411792,2.411792,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.292683,0.292683,0.707317,0.707317,?,0.292683,?,?,0.5,0.208804,?,0.292683,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261869,0.361949,100,100,95.519531,95.519531,0,2.387988,2.387988,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.215,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261869,0.361949,100,100,95.519531,95.519531,0,2.387988,2.387988,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.215,?,0.3,0.001,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0.001,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0.001,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,13,27,0,32.5,67.5,0,0,0.261306,0.361076,100,100,94.585039,94.585039,0,2.364626,2.364626,0,0,0,0,0,0,0,0,1,30,1,10,?,0,?,?,0.5,0.25,0.325,0.325,0.675,0.675,?,0.325,?,?,0.5,0.21875,?,0.325,0,0.001,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.260934,0.360495,100,100,96.488096,96.488096,0,2.353368,2.353368,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.220702,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,13,28,0,31.707317,68.292683,0,0,0.26122,0.360939,100,100,97.237364,97.237364,0,2.371643,2.371643,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.317073,0.317073,0.682927,0.682927,?,0.317073,?,?,0.5,0.219512,?,0.317073,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,12,29,0,29.268293,70.731707,0,0,0.2623,0.362617,100,100,98.208486,98.208486,0,2.395329,2.395329,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.292683,0.292683,0.707317,0.707317,?,0.292683,?,?,0.5,0.212374,?,0.292683,0,0.001,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,12,29,0,29.268293,70.731707,0,0,0.262476,0.362891,100,100,98.530875,98.530875,0,2.403192,2.403192,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.292683,0.292683,0.707317,0.707317,?,0.292683,?,?,0.5,0.211184,?,0.292683,0,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
CleanData,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261329,0.361111,100,100,94.417665,94.417665,0,2.360442,2.360442,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21875,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,12,28,0,30,70,0,0,0.261577,0.361498,100,100,94.770263,94.770263,0,2.369257,2.369257,0,0,0,0,0,0,0,0,1,29,1,11,?,0,?,?,0.5,0.275,0.3,0.3,0.7,0.7,?,0.3,?,?,0.5,0.21625,?,0.3,0,0.001,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,13,27,0,32.5,67.5,0,0,0.261306,0.361076,100,100,94.585039,94.585039,0,2.364626,2.364626,0,0,0,0,0,0,0,0,1,30,1,10,?,0,?,?,0.5,0.25,0.325,0.325,0.675,0.675,?,0.325,?,?,0.5,0.21875,?,0.325,0.001,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,364,40,13,27,0,32.5,67.5,0,0,0.261306,0.361076,100,100,94.585039,94.585039,0,2.364626,2.364626,0,0,0,0,0,0,0,0,1,30,1,10,?,0,?,?,0.5,0.25,0.325,0.325,0.675,0.675,?,0.325,?,?,0.5,0.21875,?,0.325,0,0,0,0,0,0,989,32352,4812,100,100,?,?,?,?,?,?,?
CleanData,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20181006.1757,363,41,12,29,0,29.268293,70.731707,0,0,0.262718,0.363268,100,100,98.883473,98.883473,0,2.411792,2.411792,0,0,0,0,0,0,0,0,1,30,1,11,?,0,?,?,0.5,0.268293,0.292683,0.292683,0.707317,0.707317,?,0.292683,?,?,0.5,0.208804,?,0.292683,0.001,0,0,0,0,0,989,32267,4897,100,100,?,?,?,?,?,?,?
