@relation CleanData

@attribute huml numeric
@attribute humw numeric
@attribute ulnal numeric
@attribute ulnaw numeric
@attribute tibl numeric
@attribute tibw numeric
@attribute type {SW,W,T,R,P,SO}

@data
89,4.8,93.9,3.96,62.66,2.73,SW
89.48,4.76,92.4,4.09,57.8,2.69,SW
80.7,5.23,85.96,4.25,70.57,2.88,SW
80.97,5.25,86.64,3.99,70.28,3.04,SW
75.94,5.25,80.66,4.26,68.23,2.97,SW
107.84,4.02,70.21,3.29,52.41,2.56,SW
69.37,4.07,67.08,3.61,53.42,2.03,SW
102.8,5.82,106.74,4.71,70.74,3.09,SW
100.28,5.6,109.44,4.88,72.52,3.39,SW
72.17,3.94,74.39,3.56,50.64,2.32,SW
103.14,5.92,103.65,4.78,75.54,3.47,SW
107.41,5.69,110.5,5.32,81.86,3.71,SW
68.06,3.76,69.61,3.2,51.08,2.58,SW
65.71,3.81,68.64,3.36,48.94,1.94,SW
67.06,3.54,67.98,3.24,51.88,1.86,SW
67.59,3.73,68.55,3.19,50.06,2.36,SW
100.27,5.75,107.95,4.86,69.54,3.21,SW
68.5,3.77,71.15,3.34,51.44,2.1,SW
68.15,3.84,72.31,3.42,50.26,2.13,SW
107.76,4.71,110.21,4.12,76.18,3.77,SW
109.7,4.65,109.87,4.04,76.8,3.56,SW
100.69,4.8,101.28,4.13,85.62,4.2,SW
100.08,5.07,100.81,4.04,87.55,3.96,SW
70.04,4.74,61.26,3.97,71.11,3.44,SW
75.95,5.42,66.16,4.16,78.94,3.56,SW
106.23,6.82,104.02,5.07,105.34,4.99,SW
105.19,7.1,96.85,5.43,102.04,4.9,SW
76.49,5.36,69.06,4.02,72.41,3.71,SW
65.66,3.79,61.06,3.35,63.76,2.72,SW
98.73,6.48,91.69,5.31,92.36,4.46,SW
157,9,192,7.02,227,6.84,W
70.01,3.71,76.9,2.88,79.56,3.35,W
92.93,5.28,110.94,3.87,137,4.29,W
118.52,6.87,134.91,5.06,132,5.38,W
120.26,7.01,132.42,5.4,130.1,5.22,W
67.63,4.37,60.17,3.73,92.18,4.31,W
57.08,4.28,46.72,3.63,89.93,4.23,W
48.19,3.44,43.71,3.01,94.86,3.45,W
30.99,2.09,26.14,1.82,50.67,1.98,W
34.17,2.21,27.8,1.97,51.77,2.06,W
37.64,2.2,31.58,1.87,57.06,2.19,W
35.11,2.51,29.18,2.54,38.09,1.84,W
33.37,2.69,30.06,2.51,38.3,1.87,W
34.8,2.44,29.12,2.38,35.5,1.51,W
74.89,5.63,60.54,4.67,72.16,3.53,W
76.71,5.82,61.54,5.2,75.24,4.21,W
45.25,3.5,38.72,3.33,46.36,2.39,W
46.4,3.39,38.6,3.32,49.08,2.49,W
45.68,3.95,38.98,3.51,45.23,2.52,W
45.18,3.44,38.53,3.15,46.93,2.36,W
50.22,4.31,36.33,3.79,46.42,2.1,W
44.71,3.93,32.87,2.97,40.79,1.8,W
84.92,7.9,63.16,5.78,82.87,4.36,W
88.16,8.15,66.99,6.25,83.02,3.99,W
82.39,4.8,92.5,3.64,140,4.26,W
83.48,5.06,94.46,3.57,110,3.8,W
27.94,1.93,30.25,1.66,35.21,1.38,W
29.4,2.05,32.56,1.9,38.96,1.45,W
68.92,4.48,75.44,3.97,89.16,3.53,W
67.37,4.34,78.5,4.05,45.73,2.53,W
38.79,2.61,46.6,2.64,32.09,1.37,W
116.72,6.08,133.82,6.32,78.04,3.99,W
138.48,7.54,157,6.72,116.09,5.83,W
111.99,6.33,125.88,5.13,84.8,3.93,W
82.3,4.88,95.09,4.34,75.34,3.19,W
108.44,6.54,120.99,5.55,90.24,4.09,W
138.09,8.08,155.49,7.43,125,4.66,W
129.5,7.52,144,6.4,113.44,5.15,W
100.38,5.52,113.24,5.04,82.87,3.69,W
127.4,6.93,142,6.25,107.48,5.2,W
150,8.05,170,7.36,124.92,5.76,W
70.93,4.27,79.28,3.86,72.1,2.83,W
126.74,6.5,140,5.82,105.81,5.09,W
73.15,4.2,81.12,3.72,70.39,2.49,W
84.71,5.3,94.59,4.36,69.97,3.03,W
91.89,4.99,99.31,4.73,73.23,2.99,W
85,5.07,93.17,4.21,67.32,2.73,W
87.91,5.15,97.67,4.78,70.1,2.59,W
63.48,4.03,77.33,3.65,48.82,2.51,W
80,4.7,111.96,4.87,68.89,3.25,W
50.96,3.32,59.14,3.18,37.49,2.06,W
25.1,1.68,26.11,1.73,35.85,1.2,W
22.39,1.53,24.16,1.29,30.31,0.99,W
22.89,1.55,24.62,1.59,34.27,1.06,W
64.75,4.27,70.13,3.91,86.5,3.81,W
35.97,2.81,39.56,2.5,52,2.53,W
71.35,4.89,80.97,12,86.6,3.56,W
73.44,5.16,83.64,4.06,80.76,3.76,W
33.2,2.11,34.31,2.25,37.95,1.42,W
32.31,2.16,32.74,1.98,33.37,1.14,W
28.51,1.8,29.35,1.78,36.04,1.14,W
34.12,1.9,35.57,1.93,46.24,1.27,W
87.01,5.18,94.34,4.45,67.12,2.93,W
43.97,4.64,51.07,3.8,55.67,2.88,T
44.58,5.76,52.76,4.84,56.42,3.31,T
20.25,2.35,25.14,1.76,27.67,1.41,T
48.7,5.46,57.39,3.73,52.42,2.85,T
35.74,3.91,39.2,2.93,42.8,2.18,T
