Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
CleanData,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,32.0,9.0,0.0,78.04878048780488,21.951219512195124,0.0,0.7168073676132003,0.12219512195121951,0.2360997446650341,46.6840909090909,65.26376070703247,97.27399356353716,34.94062281499275,62.33337074854441,2.372536428378955,0.8522103125607988,1.5203261158181565,63.61289603180794,1.5515340495562913,2674.739147202949,0.7,7.0,0.0967741935483871,3.0,0.9032258064516129,28.0,0.3,3.0,0.7,0.7,0.7,0.603225806451613,0.9354838709677419,0.8418414918414918,0.7804878048780488,0.06395289099968139,0.9360471090003186,0.21951219512195122,0.7666666666666667,0.7804878048780488,0.7704368801929777,0.7167367566238322,0.9466978160052163,0.8224156602205382,0.7769230769230769,0.7804878048780488,0.083,0.002,0.07,0.0,70.0,0.0,1135112.0,32267.0,4897.0,100.0,43.49593495934959,?,-1.0
CleanData,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,37.0,4.0,0.0,90.2439024390244,9.75609756097561,0.0,0.8754745634016705,0.09967479674796749,0.18746056495869778,38.234787018255595,52.0558605876819,96.13549718693376,26.858300947513015,69.27719623942075,2.3447682240715553,0.6550805109149516,1.6896877131566035,71.04328433915519,1.7327630326623218,2983.268707786785,1.0,11.0,0.0,0.0,1.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9024390243902439,0.009161131112350625,0.9908388688876494,0.0975609756097561,0.9349593495934958,0.9024390243902439,0.9046563192904657,0.9007463869894231,0.9810688942683203,0.9441695702671313,0.8545454545454545,0.9024390243902439,0.083,0.002,0.06,0.01,60.0,10.0,1169957.0,32267.0,4897.0,97.5609756097561,49.18699186991869,?,-1.0
CleanData,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,32.0,9.0,0.0,78.04878048780488,21.951219512195124,0.0,0.7135093167701864,0.10609756097560975,0.23481180840378038,40.69852941176472,65.20481129085344,96.13549718693376,1103.4724499977845,-1007.3369528108507,2.3447682240715553,26.913962195067914,-24.56919397099636,65.94499795485636,1.6084145842647892,2769.1800944140577,0.7272727272727273,8.0,0.03333333333333333,1.0,0.9666666666666667,29.0,0.2727272727272727,3.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.7428177425541199,0.8727272727272727,0.8301983247105199,0.7804878048780488,0.0671711268554884,0.9328288731445116,0.21951219512195122,0.812657420691854,0.7804878048780488,0.7779326364692217,0.7346225979793015,0.9423504207220132,0.8480740094065496,0.7428571428571428,0.7804878048780488,0.08,0.002,0.07,0.0,70.0,0.0,1150572.0,32267.0,4897.0,97.5609756097561,38.21138211382114,?,-1.0
CleanData,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,363.0,41.0,31.0,10.0,0.0,75.60975609756098,24.390243902439025,0.0,0.6855828220858896,0.11747967479674798,0.22866526819359512,44.71695739684673,62.94665742304847,98.88347301415865,34.745038731185524,64.13843428297312,2.411792024735577,0.8474399690533054,1.5643520556822712,66.20214112701177,1.6146863689515065,2788.7289793112514,0.8181818181818182,9.0,0.16666666666666666,5.0,0.8333333333333334,25.0,0.18181818181818182,2.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.6087452564393862,0.9257575757575758,0.8429292929292929,0.7560975609756098,0.06919464821062801,0.9308053517893718,0.24390243902439024,0.7515858125614224,0.7560975609756098,0.7445296167247387,0.6934997296043885,0.9586557307353198,0.8808872699116602,0.7085714285714286,0.7560975609756098,0.083,0.002,0.07,0.0,70.0,0.0,1134941.0,32267.0,4897.0,97.5609756097561,43.49593495934959,?,-1.0
CleanData,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,31.0,9.0,0.0,77.5,22.5,0.0,0.708502024291498,0.12264102564102566,0.2445174775842853,46.83290219714061,67.55569239373463,95.51953124978785,1108.8354822022332,-1013.3159509524453,2.387988281244696,27.72088705505583,-25.33289877381113,61.14478384993342,1.5286195962483355,2572.744478736779,0.8181818181818182,9.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.18181818181818182,2.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7492163009404389,0.9404388714733543,0.8895611963793782,0.775,0.0670747609388583,0.9329252390611418,0.225,0.7928571428571429,0.775,0.7667307692307691,0.7189997327950884,0.9404213085513795,0.8442057942057943,0.7222610722610723,0.775,0.081,0.002,0.07,0.0,70.0,0.0,1120336.0,32352.0,4812.0,95.0,46.25,?,-1.0
CleanData,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,32.0,8.0,0.0,80.0,20.0,0.0,0.744408945686901,0.11400000000000002,0.22585946958230466,43.53315558613573,62.4008271394619,95.51953124978785,34.34249527317372,61.17703597661413,2.387988281244696,0.858562381829343,1.5294258994153531,62.84785783873618,1.5711964459684045,2644.4034809556133,0.7272727272727273,8.0,0.034482758620689655,1.0,0.9655172413793104,28.0,0.2727272727272727,3.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.740789521357966,0.9482758620689655,0.8863636363636365,0.8,0.048904743630909964,0.95109525636909,0.2,0.8099206349206348,0.8,0.7978321678321678,0.756939571886558,0.9585773610469349,0.8747360248447205,0.7639471639471639,0.8,0.093,0.002,0.08,0.0,80.0,0.0,1145512.0,32352.0,4812.0,100.0,45.41666666666667,?,-1.0
CleanData,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,32.0,8.0,0.0,80.0,20.0,0.0,0.746434231378764,0.12170833333333335,0.21692212504337435,46.52875839504049,60.006511700911105,94.77026321739659,31.18431172400761,63.585951493388976,2.369256580434915,0.7796077931001902,1.5896487873347245,63.76823979977178,1.5942059949942944,2680.923762864991,0.7272727272727273,8.0,0.034482758620689655,1.0,0.9655172413793104,28.0,0.2727272727272727,3.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.740789521357966,0.9717868338557993,0.9469354175236528,0.8,0.03462281464309862,0.9653771853569015,0.2,NaN,0.8,NaN,NaN,0.9780579427778371,0.9208239064856713,NaN,0.8,0.097,0.002,0.08,0.0,80.0,0.0,1165700.0,32352.0,4812.0,100.0,47.08333333333333,?,-1.0
CleanData,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,33.0,7.0,0.0,82.5,17.5,0.0,0.7747385358004827,0.12116666666666664,0.2214215436672773,46.321680730153275,61.251172273218074,94.77026321739659,35.2244547879333,59.54580842946329,2.369256580434915,0.8806113696983324,1.4886452107365824,62.36585996106095,1.5591464990265238,2621.9653621632033,0.8181818181818182,9.0,0.06896551724137931,2.0,0.9310344827586207,27.0,0.18181818181818182,2.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7492163009404389,0.9670846394984326,0.9222073677956031,0.825,0.04648652564474066,0.9535134743552593,0.175,0.8313873626373628,0.825,0.821974358974359,0.7842496331810935,0.9600747071363329,0.8843808356676004,0.7878166278166278,0.825,0.08,0.002,0.06,0.01,60.0,10.0,1147485.0,32352.0,4812.0,95.0,49.166666666666664,?,-1.0
CleanData,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,29.0,11.0,0.0,72.5,27.5,0.0,0.6437246963562753,0.13724999999999996,0.26014098741515795,52.47029447218875,71.96201494934157,94.77026321739659,47.19657943507051,47.57368378232608,2.369256580434915,1.1799144858767627,1.1893420945581519,54.92413598259505,1.3731033995648763,2309.102803729799,0.6363636363636364,7.0,0.13793103448275862,4.0,0.8620689655172413,25.0,0.36363636363636365,4.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.49843260188087773,0.8432601880877743,0.7390003935458481,0.725,0.0813103160199349,0.9186896839800651,0.275,0.7283333333333333,0.725,0.6964646464646466,0.6448920787536585,0.9256733650810596,0.8267252886002886,0.6069023569023569,0.725,0.089,0.002,0.08,0.0,80.0,0.0,1133952.0,32352.0,4812.0,92.5,48.750000000000014,?,-1.0
CleanData,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 15',1116839470751428698,2.01810081251E7,364.0,40.0,31.0,9.0,0.0,77.5,22.5,0.0,0.709911361804996,0.11449999999999998,0.22953757862276059,43.8183071884158,63.57035815669993,94.58503886410114,35.868954971266064,58.71608389283507,2.3646259716025284,0.8967238742816516,1.4679020973208767,64.65562266198174,1.6163905665495435,2717.638771963693,0.5,5.0,0.1,3.0,0.9,27.0,0.5,5.0,0.625,0.5,0.5555555555555556,0.4330127018922193,0.8233333333333334,0.7351750918798973,0.775,0.06504046062869592,0.9349595393713042,0.225,0.77125,0.775,0.7649170274170274,0.7114699735931775,0.9434247587924058,0.8652337912849927,0.7574555074555075,0.775,0.087,0.002,0.07,0.0,70.0,0.0,1147298.0,32352.0,4812.0,97.5,46.66666666666668,?,-1.0
