@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,16,47,7,334,0.020528,0.253968,0.695652,0.253968,0.304348,0.372093,0.056931,4.461008,0.55
57,13,50,6,335,0.017595,0.206349,0.684211,0.206349,0.315789,0.317073,0.04703,4.387636,0.56
58,12,51,6,335,0.017595,0.190476,0.666667,0.190476,0.333333,0.296296,0.044554,4.275132,0.57
59,10,53,6,335,0.017595,0.15873,0.625,0.15873,0.375,0.253165,0.039604,4.007937,0.58
60,8,55,6,335,0.017595,0.126984,0.571429,0.126984,0.428571,0.207792,0.034653,3.664399,0.581875
61,7,56,6,335,0.017595,0.111111,0.538462,0.111111,0.461538,0.184211,0.032178,3.452991,0.59
62,7,56,5,336,0.014663,0.111111,0.583333,0.111111,0.416667,0.186667,0.029703,3.740741,0.6
63,6,57,5,336,0.014663,0.095238,0.545455,0.095238,0.454545,0.162162,0.027228,3.497835,0.61
64,6,57,4,337,0.01173,0.095238,0.6,0.095238,0.4,0.164384,0.024752,3.847619,0.62
65,5,58,3,338,0.008798,0.079365,0.625,0.079365,0.375,0.140845,0.019802,4.007937,0.63
66,5,58,2,339,0.005865,0.079365,0.714286,0.079365,0.285714,0.142857,0.017327,4.580499,0.65
67,4,59,2,339,0.005865,0.063492,0.666667,0.063492,0.333333,0.115942,0.014851,?,0.67
68,3,60,1,340,0.002933,0.047619,0.75,0.047619,0.25,0.089552,0.009901,?,0.7
69,2,61,1,340,0.002933,0.031746,0.666667,0.031746,0.333333,0.060606,0.007426,?,0.72
70,1,62,1,340,0.002933,0.015873,0.5,0.015873,0.5,0.030769,0.00495,?,0.76
71,0,63,1,340,0.002933,0,0,0,1,?,0.002475,?,0.77
72,0,63,0,341,0,0,?,0,?,?,0,?,0.77001
